iter	Passed	Remaining
0	154	154562
1	155	77535
2	156	51906
3	157	39148
4	158	31489
5	159	26357
6	159	22641
7	160	19860
8	160	17709
9	161	15993
10	162	14599
11	163	13445
12	163	12451
13	164	11600
14	165	10865
15	166	10225
16	167	9662
17	167	9155
18	168	8707
19	169	8296
20	170	7932
21	171	7605
22	171	7304
23	172	7015
24	173	6750
25	173	6506
26	174	6278
27	174	6070
28	175	5875
29	176	5698
30	176	5530
31	177	5369
32	178	5220
33	178	5080
34	179	4946
35	180	4820
36	180	4700
37	181	4587
38	181	4479
39	182	4376
40	182	4279
41	183	4186
42	184	4099
43	184	4013
44	185	3933
45	185	3855
46	186	3786
47	187	3715
48	188	3649
49	188	3583
50	189	3519
51	189	3457
52	190	3402
53	191	3346
54	191	3292
55	192	3239
56	192	3189
57	193	3141
58	193	3093
59	194	3047
60	195	3003
61	195	2960
62	196	2919
63	196	2879
64	197	2839
65	198	2803
66	198	2767
67	199	2729
68	199	2694
69	200	2664
70	201	2630
71	201	2599
72	202	2568
73	202	2537
74	203	2508
75	203	2479
76	204	2451
77	205	2424
78	205	2397
79	206	2372
80	206	2347
81	207	2322
82	208	2298
83	208	2274
84	208	2248
85	209	2226
86	209	2202
87	210	2181
88	211	2160
89	211	2140
90	212	2120
91	212	2101
92	213	2082
93	214	2064
94	214	2045
95	215	2027
96	215	2009
97	216	1992
98	217	1975
99	217	1958
100	218	1941
101	218	1923
102	219	1908
103	219	1892
104	220	1877
105	220	1863
106	221	1848
107	222	1834
108	222	1820
109	223	1806
110	223	1792
111	224	1779
112	225	1766
113	225	1754
114	226	1742
115	226	1728
116	227	1716
117	227	1704
118	228	1690
119	229	1679
120	229	1668
121	230	1656
122	230	1643
123	231	1632
124	231	1621
125	232	1612
126	233	1601
127	233	1589
128	233	1579
129	234	1569
130	235	1559
131	235	1550
132	236	1540
133	236	1531
134	237	1522
135	238	1513
136	238	1504
137	239	1495
138	239	1486
139	240	1478
140	241	1469
141	241	1460
142	242	1452
143	243	1444
144	243	1436
145	244	1428
146	244	1420
147	245	1412
148	245	1404
149	246	1396
150	247	1388
151	247	1381
152	248	1374
153	248	1366
154	249	1359
155	249	1352
156	250	1344
157	250	1337
158	251	1330
159	252	1323
160	252	1317
161	253	1310
162	253	1303
163	254	1296
164	254	1289
165	255	1283
166	256	1277
167	256	1271
168	257	1265
169	257	1259
170	258	1253
171	259	1247
172	259	1241
173	260	1236
174	260	1229
175	261	1224
176	262	1218
177	262	1213
178	263	1207
179	263	1202
180	264	1195
181	264	1190
182	265	1184
183	265	1179
184	266	1174
185	267	1168
186	267	1163
187	268	1158
188	268	1153
189	269	1148
190	270	1143
191	270	1138
192	271	1134
193	271	1129
194	272	1124
195	272	1119
196	273	1114
197	274	1109
198	274	1105
199	275	1100
200	275	1095
201	276	1091
202	276	1086
203	277	1082
204	277	1077
205	278	1073
206	279	1069
207	279	1064
208	280	1060
209	280	1056
210	281	1052
211	281	1047
212	282	1043
213	283	1039
214	283	1035
215	284	1031
216	284	1027
217	285	1024
218	286	1019
219	286	1015
220	287	1012
221	287	1008
222	288	1004
223	288	1000
224	289	996
225	289	992
226	290	988
227	290	985
228	291	981
229	292	977
230	292	974
231	293	970
232	293	967
233	294	963
234	295	960
235	295	956
236	296	953
237	296	950
238	297	946
239	297	943
240	298	939
241	299	936
242	299	933
243	300	930
244	300	927
245	301	924
246	302	920
247	302	917
248	303	914
249	303	911
250	304	908
251	304	905
252	305	902
253	306	898
254	306	895
255	307	892
256	307	889
257	308	886
258	308	883
259	309	880
260	310	877
261	310	874
262	311	871
263	311	868
264	312	865
265	312	863
266	313	860
267	314	857
268	314	855
269	315	852
270	315	849
271	316	846
272	316	843
273	317	841
274	318	838
275	318	835
276	319	832
277	319	830
278	320	827
279	320	825
280	321	822
281	321	819
282	322	817
283	323	814
284	323	812
285	324	809
286	324	807
287	325	804
288	326	802
289	326	799
290	327	797
291	327	794
292	328	792
293	328	790
294	329	787
295	330	785
296	330	783
297	331	780
298	331	778
299	332	775
300	333	773
301	333	771
302	334	768
303	334	766
304	335	764
305	335	761
306	336	759
307	337	757
308	337	754
309	338	752
310	338	750
311	339	748
312	339	746
313	340	743
314	341	741
315	341	739
316	342	737
317	342	735
318	343	733
319	344	731
320	344	729
321	345	727
322	346	725
323	346	723
324	347	721
325	347	719
326	348	716
327	348	714
328	349	713
329	350	710
330	350	708
331	351	706
332	351	704
333	352	702
334	353	700
335	353	698
336	354	696
337	354	694
338	355	692
339	355	690
340	356	688
341	356	686
342	357	684
343	358	682
344	358	681
345	359	679
346	359	677
347	360	675
348	361	673
349	361	671
350	362	669
351	362	667
352	363	666
353	363	664
354	364	662
355	365	660
356	365	658
357	366	656
358	366	654
359	367	653
360	367	651
361	368	649
362	369	647
363	369	646
364	370	644
365	370	642
366	371	640
367	372	639
368	372	637
369	373	635
370	374	634
371	374	632
372	375	631
373	376	629
374	376	628
375	377	626
376	378	624
377	378	623
378	379	621
379	379	619
380	380	617
381	380	615
382	381	614
383	381	612
384	382	610
385	383	609
386	383	607
387	384	605
388	384	604
