iter	Passed	Remaining
0	146	146806
1	147	73724
2	148	49370
3	149	37183
4	150	29942
5	151	25063
6	152	21587
7	152	18956
8	153	16918
9	154	15280
10	155	13939
11	155	12820
12	156	11885
13	157	11087
14	158	10389
15	158	9766
16	159	9218
17	159	8728
18	160	8293
19	161	7896
20	161	7545
21	162	7232
22	163	6938
23	164	6674
24	164	6429
25	165	6202
26	166	5991
27	166	5792
28	167	5605
29	168	5435
30	168	5275
31	169	5129
32	170	4992
33	171	4862
34	171	4737
35	172	4617
36	173	4505
37	173	4397
38	174	4305
39	175	4211
40	176	4125
41	177	4040
42	177	3956
43	178	3879
44	179	3805
45	180	3733
46	180	3665
47	181	3601
48	182	3535
49	182	3472
50	183	3411
51	183	3354
52	184	3299
53	185	3246
54	185	3194
55	186	3146
56	187	3099
57	188	3056
58	188	3014
59	189	2972
60	190	2930
61	191	2891
62	191	2852
63	192	2817
64	193	2784
65	194	2749
66	194	2714
67	195	2680
68	196	2648
69	196	2615
70	197	2583
71	198	2553
72	198	2525
73	199	2499
74	200	2473
75	201	2447
76	201	2419
77	202	2392
78	203	2367
79	203	2341
80	204	2316
81	204	2294
82	205	2267
83	205	2245
84	206	2223
85	207	2203
86	208	2183
87	208	2162
88	209	2141
89	209	2121
90	210	2101
91	211	2082
92	211	2066
93	212	2048
94	213	2029
95	213	2013
96	214	1995
97	215	1979
98	216	1966
99	216	1950
100	217	1935
101	218	1919
102	218	1904
103	219	1891
104	220	1877
105	220	1863
106	221	1849
107	222	1834
108	222	1820
109	223	1808
110	224	1795
111	224	1782
112	225	1770
113	226	1758
114	227	1747
115	227	1735
116	228	1722
117	228	1710
118	229	1697
119	229	1686
120	230	1675
121	231	1664
122	232	1654
123	232	1643
124	233	1632
125	234	1623
126	234	1613
127	235	1602
128	235	1593
129	236	1583
130	237	1575
131	238	1565
132	238	1556
133	239	1548
134	240	1539
135	240	1530
136	241	1521
137	242	1512
138	243	1506
139	244	1498
140	244	1490
141	245	1480
142	245	1472
143	246	1464
144	247	1456
145	247	1449
146	248	1441
147	249	1433
148	249	1426
149	250	1419
150	251	1411
151	251	1405
152	252	1398
153	253	1391
154	254	1385
155	254	1379
156	255	1373
157	256	1366
158	257	1360
159	257	1353
160	258	1346
161	259	1339
162	259	1333
163	260	1327
164	261	1322
165	261	1316
166	262	1309
167	263	1305
168	264	1299
169	265	1293
170	265	1288
171	266	1282
172	267	1276
173	267	1271
174	268	1265
175	269	1260
176	270	1256
177	271	1251
178	271	1247
179	272	1241
180	273	1236
181	273	1230
182	274	1225
183	275	1220
184	275	1215
185	276	1210
186	277	1205
187	277	1200
188	278	1195
189	279	1190
190	279	1184
191	280	1180
192	281	1175
193	281	1170
194	282	1165
195	283	1161
196	283	1157
197	284	1152
198	285	1147
199	285	1142
200	286	1138
201	287	1134
202	287	1129
203	288	1125
204	289	1120
205	289	1116
206	290	1112
207	290	1107
208	291	1104
209	292	1099
210	292	1095
211	293	1091
212	294	1088
213	295	1084
214	296	1081
215	296	1076
216	297	1072
217	298	1068
218	298	1064
219	299	1061
220	300	1058
221	301	1055
222	301	1051
223	302	1047
224	303	1044
225	303	1040
226	304	1036
227	305	1034
228	306	1031
229	307	1027
230	307	1024
231	308	1021
232	309	1017
233	309	1014
234	310	1010
235	310	1006
236	311	1002
237	312	999
238	312	996
239	313	992
240	314	989
241	314	985
242	315	982
243	315	979
244	316	975
245	317	972
246	317	968
247	318	965
248	318	962
249	319	959
250	320	956
251	321	953
252	321	949
253	322	947
254	323	943
255	323	940
256	324	937
257	324	934
258	325	931
259	326	928
260	327	925
261	327	922
262	328	919
263	328	916
264	329	913
265	330	910
266	330	907
267	331	904
268	332	902
269	332	899
270	333	897
271	334	894
272	335	892
273	335	889
274	336	886
275	336	883
276	337	880
277	338	878
278	338	875
279	339	873
280	340	870
281	340	868
282	341	865
283	341	862
284	342	859
285	343	856
286	343	854
287	344	851
288	348	857
289	349	855
290	349	852
291	350	849
292	351	847
293	351	844
294	352	841
295	353	839
296	353	837
297	354	835
298	355	832
299	355	830
300	356	827
301	356	824
302	357	822
303	358	820
304	358	817
305	359	815
306	360	813
307	360	810
308	361	808
309	362	806
310	362	803
311	363	801
312	364	799
313	365	797
314	365	795
315	366	792
316	366	790
317	367	789
318	368	786
319	369	784
320	369	782
321	370	780
322	371	778
323	371	775
324	372	773
325	373	771
326	373	769
327	374	767
328	375	765
329	375	762
330	376	760
331	376	758
332	377	756
333	378	755
334	379	752
335	380	751
336	380	749
337	381	747
338	382	745
339	382	743
340	383	741
341	384	739
342	385	737
343	386	736
344	386	734
345	387	732
346	387	730
347	388	727
348	389	726
349	389	724
350	390	722
351	391	720
352	392	718
353	392	716
354	393	714
355	394	713
356	394	711
357	395	709
358	396	707
359	397	706
360	398	704
361	398	702
362	399	700
363	400	699
364	400	697
365	401	696
366	402	694
367	403	692
368	403	690
369	404	689
370	405	687
371	406	685
372	406	683
373	407	682
374	408	680
375	409	678
376	409	677
377	410	675
378	411	673
379	412	672
380	412	670
381	413	668
382	414	666
383	414	665
384	415	663
385	416	661
386	416	660
387	417	658
388	418	656
389	418	654
390	419	653
391	419	651
392	420	649
393	421	647
394	421	645
395	422	644
396	423	642
397	423	640
398	424	639
399	425	637
400	425	636
401	426	634
402	427	633
403	428	632
404	429	630
405	430	629
406	430	627
407	431	625
408	432	624
409	433	623
410	433	621
411	434	619
412	435	618
413	435	616
414	436	615
415	437	613
416	437	612
417	438	610
418	439	609
419	439	607
420	440	605
421	440	603
422	441	602
423	442	600
424	442	599
425	443	597
426	444	596
427	444	594
428	445	593
429	446	591
430	446	589
431	447	588
432	448	587
433	449	585
434	449	584
435	450	582
436	451	581
437	451	579
438	452	577
439	452	576
440	453	575
441	454	573
442	455	572
443	455	570
444	456	569
445	457	567
446	457	566
447	458	565
448	459	563
449	460	562
450	461	561
451	461	559
452	462	558
453	463	556
454	463	555
455	464	554
456	465	552
457	465	551
458	466	550
459	467	548
460	468	547
461	468	545
462	469	544
463	469	542
464	470	541
465	471	540
466	472	538
467	472	537
468	473	535
469	474	534
470	474	533
471	475	531
472	476	530
473	476	529
474	477	527
475	478	526
476	478	524
477	479	523
478	480	522
479	480	520
480	481	519
481	482	518
482	483	517
483	483	515
484	484	514
485	485	513
486	485	511
487	486	510
488	487	509
489	487	507
490	488	506
491	489	505
492	490	504
493	490	502
494	491	501
495	492	500
496	492	498
497	493	497
498	494	496
499	494	494
500	495	493
501	495	492
502	496	490
503	497	489
504	497	488
505	498	486
506	499	485
507	499	483
508	500	482
509	501	481
510	501	480
511	502	478
512	502	477
513	503	476
514	504	474
515	505	473
516	505	472
517	506	471
518	507	469
519	507	468
520	508	467
521	509	466
522	509	464
523	510	463
524	510	462
525	511	460
526	512	459
527	512	458
528	513	457
529	513	455
530	514	454
531	515	453
532	515	452
533	516	450
534	517	449
535	517	448
536	518	447
537	519	445
538	519	444
539	520	443
540	521	442
